bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
76742	4	13.33	0.470	0.000	0.348	0.000	0.000	0.182	0.000	0.000	0.000	0.000	0.000	0.000
76756	17	49.33	0.611	0.083	0.083	0.167	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76766	18	1.00	0.943	0.000	0.044	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000
76780	12	115.33	0.767	0.000	0.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76797	4	33.33	0.000	0.000	0.500	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000
76812	7	1.00	0.188	0.000	0.375	0.000	0.000	0.375	0.000	0.000	0.000	0.000	0.000	0.063
76860	4	30.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76874	5	38.67	0.971	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029
76990	3	23.67	0.800	0.000	0.150	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000
77019	11	52.00	0.472	0.000	0.226	0.000	0.000	0.302	0.000	0.000	0.000	0.000	0.000	0.000
77040	4	8.00	0.000	0.000	0.400	0.000	0.000	0.600	0.000	0.000	0.000	0.000	0.000	0.000
77051	19	22.67	0.846	0.000	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77052	19	8.00	0.978	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77063	4	53.33	0.000	0.396	0.050	0.297	0.257	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77064	4	8.00	0.087	0.304	0.261	0.087	0.217	0.043	0.000	0.000	0.000	0.000	0.000	0.000
77065	4	8.00	0.000	0.360	0.047	0.281	0.311	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77068	4	29.33	0.000	0.636	0.091	0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77083	20	16.00	0.866	0.000	0.050	0.000	0.000	0.000	0.065	0.015	0.000	0.000	0.000	0.005
