bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
102193	17	110.67	0.91	0.03	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
102305	18	12.00	0.82	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
102422	12	388.67	0.80	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
102427	7	156.33	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
102492	20	438.67	0.50	0.07	0.23	0.07	0.02	0.11	0.00	0.00	0.00	0.00	0.00	0.00
102534	6	206.33	0.90	0.01	0.05	0.00	0.00	0.00	0.02	0.03	0.00	0.00	0.00	0.00
102650	17	65.33	0.66	0.09	0.04	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00
102778	18	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
103023	19	1.00	0.93	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
103148	5	37.33	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
103227	19	44.67	0.93	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
103320	18	29.33	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
103326	4	119.67	0.53	0.00	0.21	0.00	0.00	0.24	0.00	0.00	0.03	0.00	0.00	0.00
103377	16	247.33	0.84	0.00	0.04	0.00	0.00	0.00	0.10	0.02	0.00	0.00	0.00	0.01
